started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2024-01-01 04:08:14.939000+00:00,2024-01-01 04:21:16.407000+00:00,781,478,Jernbanetorget,Europarådets plass,59.911901,10.749929,1755,Aker Brygge 1 mot Nasjonalmuseet,bak muren ved plattform G,59.91118372188379,10.730034556850455
2024-01-01 04:55:22.471000+00:00,2024-01-01 05:07:51.782000+00:00,749,421,Alexander Kiellands Plass,langs Maridalsveien,59.92806670615684,10.751202636819613,448,Oslo Plaza,ved rundkjøringen,59.91218291295141,10.7544337247013
2024-01-01 06:25:19.519000+00:00,2024-01-01 06:41:50.733000+00:00,991,421,Alexander Kiellands Plass,langs Maridalsveien,59.92806670615684,10.751202636819613,480,Helga Helgesens plass,langs Grønlandsleiret,59.9121109,10.7661939
2024-01-01 06:40:08.413000+00:00,2024-01-01 06:45:55.970000+00:00,347,519,Thomas Heftyes plass,ved Bygdøy allé,59.918578143336774,10.703899530059402,468,Skillebekk,langs Drammensveien,59.912793405455375,10.710103028570302
2024-01-01 06:48:56.467000+00:00,2024-01-01 07:00:33.755000+00:00,697,412,Jakob kirke,langs Torggata,59.917866,10.754898,2358,Aker Brygge 3 mot Fergene,ved bryggen,59.91087115068967,10.729828757277915
2024-01-01 08:44:49.428000+00:00,2024-01-01 09:23:24.255000+00:00,2314,2337,Universitetsgata,Hjørnet av Universitetsgata and Kristian IVs Gate,59.91591543378553,10.737834990277321,443,Sjøsiden 1 ved trappen,to rader nærmest trappen,59.91014291324254,10.752003700187942
2024-01-01 08:45:03.356000+00:00,2024-01-01 09:22:18.707000+00:00,2235,2337,Universitetsgata,Hjørnet av Universitetsgata and Kristian IVs Gate,59.91591543378553,10.737834990277321,443,Sjøsiden 1 ved trappen,to rader nærmest trappen,59.91014291324254,10.752003700187942
2024-01-01 09:27:13.619000+00:00,2024-01-01 10:10:54.364000+00:00,2620,443,Sjøsiden 1 ved trappen,to rader nærmest trappen,59.91014291324254,10.752003700187942,392,Sjøsiden 2 ved fontenen,to rader nærmest fontenen,59.910180852633516,10.751698750995615
2024-01-01 10:22:13.146000+00:00,2024-01-01 10:37:14.326000+00:00,901,599,Paléhaven,langs Strandgata,59.910331,10.75011,537,St. Olavs gate,ved Pilestredet,59.9179676629428,10.738628884264756
2024-01-01 10:22:47.102000+00:00,2024-01-01 10:37:21.643000+00:00,874,599,Paléhaven,langs Strandgata,59.910331,10.75011,537,St. Olavs gate,ved Pilestredet,59.9179676629428,10.738628884264756
2024-01-01 12:06:21.247000+00:00,2024-01-01 12:21:39.897000+00:00,918,381,Grønlands torg,ved Tøyenbekken,59.91252,10.76224,2305,Hesselbergs Gate,ved Toftes Gate,59.927777943193746,10.761256419316368
2024-01-01 12:10:19.840000+00:00,2024-01-01 12:34:54.728000+00:00,1474,2305,Hesselbergs Gate,ved Toftes Gate,59.927777943193746,10.761256419316368,380,Bentsebrugata,rett over busstoppet,59.93923,10.75917
2024-01-01 12:18:19.823000+00:00,2024-01-01 12:32:52.577000+00:00,872,449,Ruseløkkgården,langs Løkkeveien,59.91357497092093,10.726229742333288,577,Arkaden Nord,langs Dronningens gate,59.9121472,10.7480527
2024-01-01 12:28:56.585000+00:00,2024-01-01 13:00:42.493000+00:00,1905,378,Colosseum Kino,langs Fridtjof Nansens vei,59.92984300295666,10.711284727205708,566,Hoff terrasse holdeplass,langs Hoffsveien,59.92732814272898,10.675499599893328
2024-01-01 13:23:18.790000+00:00,2024-01-01 13:42:56.411000+00:00,1177,458,Jenny Braatens Plass,langs Rosenhoffgata,59.928349,10.77837,512,Ensjø T-bane,langs Ensjøveien,59.9131891,10.7897605
2024-01-01 13:25:24.165000+00:00,2024-01-01 13:38:28.681000+00:00,784,563,Huitfeldts gate,ved Observatoriegata,59.9126844,10.7229003,450,Elisenberg,ved holdeplassen,59.919524,10.70884
2024-01-01 13:26:15.857000+00:00,2024-01-01 13:33:54.007000+00:00,458,404,Oslo Handelsgymnasium,ved Solligata,59.914306,10.720202,533,Sørvest for Slottsparken,langs Henrik Ibsens gate,59.915262,10.7253157
2024-01-01 13:34:07.619000+00:00,2024-01-01 13:44:21.702000+00:00,614,533,Sørvest for Slottsparken,langs Henrik Ibsens gate,59.915262,10.7253157,2308,Gunerius,utenfor Storgata 33,59.91459878869395,10.753398500006654
2024-01-01 13:43:41.114000+00:00,2024-01-01 13:56:21.638000+00:00,760,2305,Hesselbergs Gate,ved Toftes Gate,59.927777943193746,10.761256419316368,522,Mandalls gate,ved Grønlandsleiret,59.9123469,10.7638147
