started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2024-02-01 05:59:55.460000+00:00,2024-02-01 06:10:24.882000+00:00,629,2330,Stjerneplassen,Krysset Skippergata Storgata,59.91323316606503,10.749958763650312,738,Lodalen busstopp,langs Dyvekes vei,59.9034528,10.777958
2024-02-01 05:59:56.381000+00:00,2024-02-01 06:25:58.817000+00:00,1562,421,Alexander Kiellands Plass,langs Maridalsveien,59.92806670615684,10.751202636819613,567,Forskningsveien,ved SINTEF,59.945450633702556,10.713867957672134
2024-02-01 06:03:09.090000+00:00,2024-02-01 06:16:28.541000+00:00,799,468,Skillebekk,langs Drammensveien,59.912793405455375,10.710103028570302,465,Bjørvika,under broen Nylandsveien,59.909006,10.75618
2024-02-01 06:10:23.409000+00:00,2024-02-01 06:16:21.819000+00:00,358,443,Sjøsiden 1 ved trappen,to rader nærmest trappen,59.91014291324254,10.752003700187942,452,Vippetangen vest,nærmest Rådhuset,59.903989,10.740627
2024-02-01 06:11:53.131000+00:00,2024-02-01 06:20:33.651000+00:00,520,404,Oslo Handelsgymnasium,ved Solligata,59.914306,10.720202,489,Torggata,ved Bernt Ankers gate,59.91598309274519,10.75155119076095
2024-02-01 06:13:44.566000+00:00,2024-02-01 06:26:58.875000+00:00,794,1755,Aker Brygge 1 mot Nasjonalmuseet,bak muren ved plattform G,59.91118372188379,10.730034556850455,484,Karenslyst allé,ved Skabos vei,59.92033,10.683814
2024-02-01 06:14:32.567000+00:00,2024-02-01 06:30:04.400000+00:00,931,421,Alexander Kiellands Plass,langs Maridalsveien,59.92806670615684,10.751202636819613,378,Colosseum Kino,langs Fridtjof Nansens vei,59.92984300295666,10.711284727205708
2024-02-01 06:15:05.792000+00:00,2024-02-01 06:19:03.914000+00:00,238,1023,Professor Aschehougs plass,ved Kristian IVs gate,59.9147672,10.740971,609,Fred Olsens gate,ved Karl Johans gate,59.9110506,10.7493737
2024-02-01 06:15:19.730000+00:00,2024-02-01 06:23:42.257000+00:00,502,443,Sjøsiden 1 ved trappen,to rader nærmest trappen,59.91014291324254,10.752003700187942,452,Vippetangen vest,nærmest Rådhuset,59.903989,10.740627
2024-02-01 06:17:45.278000+00:00,2024-02-01 06:23:35.024000+00:00,349,478,Jernbanetorget,Europarådets plass,59.911901,10.749929,452,Vippetangen vest,nærmest Rådhuset,59.903989,10.740627
2024-02-01 06:20:59.183000+00:00,2024-02-01 06:26:35.500000+00:00,336,550,Thereses gate,ved Bislett trikkestopp,59.9261462,10.7310355,537,St. Olavs gate,ved Pilestredet,59.9179676629428,10.738628884264756
2024-02-01 06:23:02.525000+00:00,2024-02-01 06:34:43.150000+00:00,700,421,Alexander Kiellands Plass,langs Maridalsveien,59.92806670615684,10.751202636819613,480,Helga Helgesens plass,langs Grønlandsleiret,59.9121109,10.7661939
2024-02-01 06:24:05.341000+00:00,2024-02-01 06:31:14.058000+00:00,428,2357,Aker Brygge 2 mot Rådhusplassen,ved plattform H i retning rådhuset,59.91111544486938,10.730396895054923,437,Sentrum Scene,ved Arbeidersamfunnets plass,59.91546786564256,10.751140873016311
2024-02-01 06:25:36.420000+00:00,2024-02-01 06:29:45.921000+00:00,249,478,Jernbanetorget,Europarådets plass,59.911901,10.749929,452,Vippetangen vest,nærmest Rådhuset,59.903989,10.740627
2024-02-01 06:27:16.144000+00:00,2024-02-01 06:34:54.407000+00:00,458,563,Huitfeldts gate,ved Observatoriegata,59.9126844,10.7229003,787,Kirkegata 15,ved Kunnskapsdepartamentet,59.91015615055511,10.743456971511705
2024-02-01 06:27:37.536000+00:00,2024-02-01 06:34:44.796000+00:00,427,401,Lille Schous plass,lengst vekk fra rundkjøring,59.920259,10.760629,443,Sjøsiden 1 ved trappen,to rader nærmest trappen,59.91014291324254,10.752003700187942
2024-02-01 06:28:36.787000+00:00,2024-02-01 07:07:33.510000+00:00,2336,615,Munkedamsveien,ved Haakon VIIs gate,59.9135227,10.7301061,438,BI Nydalen,ved hovedinngangen,59.949239,10.768576
2024-02-01 06:28:39.948000+00:00,2024-02-01 07:06:14.853000+00:00,2254,615,Munkedamsveien,ved Haakon VIIs gate,59.9135227,10.7301061,438,BI Nydalen,ved hovedinngangen,59.949239,10.768576
